fish_id,test_name,bin,bin_s,l_saccs,r_saccs,l_saccs_s,r_saccs_s,l_abs,r_abs,l_abs_s,r_abs_s,l_abs_norm,r_abs_norm,l_abs_s_norm,r_abs_s_norm,l_agr,r_agr,l_agr_s,r_agr_s
1,sd,0,0,0,0,0,0,68.47707367,48.62484741,68.47707367,48.62484741,0.325761009,0.215447417,0.173542884,0.115996745,0.003984064,0.003984064,0.003984064,0.003984064
1,sd,10,10,2,1,3,3,62.76401222,58.55258179,123.4982015,121.5824738,0.298582677,0.259435313,0.312984082,0.29004042,0.704,0.656,0.710843373,0.698795181
1,sd,20,10,1,2,3,3,60.73418933,63.02989197,123.4982015,121.5824738,0.288926348,0.279273419,0.312984082,0.29004042,0.717741935,0.741935484,0.710843373,0.698795181
1,sd,30,30,3,3,6,6,142.8541535,140.9286652,291.8933104,305.2743053,0.679589689,0.624428013,0.739751338,0.728245487,0.814516129,0.782258065,0.819277108,0.81124498
1,sd,40,30,3,3,6,6,149.0391569,164.3456402,291.8933104,305.2743053,0.709013157,0.728184159,0.739751338,0.728245487,0.824,0.84,0.819277108,0.81124498
1,sd,50,50,4,5,9,10,194.0489728,204.1411285,394.5830109,412.5499268,0.923135085,0.904510371,1,0.984156272,0.792,0.784,0.796,0.816
1,sd,60,50,5,5,9,10,200.5340381,208.4087982,394.5830109,412.5499268,0.953986015,0.923419601,1,0.984156272,0.8,0.848,0.796,0.816
1,sd,70,70,3,3,8,10,152.1539557,193.4990692,362.3604314,419.1914825,0.723830963,0.857357438,0.918337641,1,0.736,0.776,0.76,0.776
1,sd,80,70,5,7,8,10,210.2064757,225.6924133,362.3604314,419.1914825,1,1,0.918337641,1,0.784,0.776,0.76,0.776
1,sd,90,90,3,3,6,5,144.0251427,165.1833496,353.9230545,358.4038391,0.685160351,0.73189589,0.89695462,0.854988362,0.68,0.696,0.704,0.708
1,sd,100,90,3,2,6,5,209.8979118,193.2204895,353.9230545,358.4038391,0.998532091,0.856123104,0.89695462,0.854988362,0.728,0.72,0.704,0.708
1,wd,0,0,0,0,0,0,64.01331429,67.71624756,64.01331429,67.71624756,0.284836004,0.309341102,0.153538474,0.161545095,0.007936508,0.007936508,0.007936508,0.007936508
1,wd,10,10,4,5,8,13,192.1829104,200.273819,416.9203501,419.1786041,0.855144166,0.914890092,1,1,0.808,0.824,0.81124498,0.831325301
1,wd,20,10,4,8,8,13,224.7374396,218.9047852,416.9203501,419.1786041,1,1,1,1,0.814516129,0.838709677,0.81124498,0.831325301
1,wd,30,30,3,2,7,7,117.6471566,127.3544769,320.0490533,314.5632629,0.523487127,0.581780233,0.767650352,0.750427765,0.752,0.848,0.796,0.84
1,wd,40,30,4,5,7,7,202.4018967,187.208786,320.0490533,314.5632629,0.900614944,0.855206458,0.767650352,0.750427765,0.84,0.832,0.796,0.84
1,wd,50,50,2,2,5,5,113.2374957,115.7151337,291.2122281,290.7773132,0.503865737,0.52860943,0.698484082,0.693683576,0.739837398,0.788617886,0.802419355,0.814516129
1,wd,60,50,3,3,5,5,177.9747324,175.0621796,291.2122281,290.7773132,0.791922933,0.799718377,0.698484082,0.693683576,0.864,0.84,0.802419355,0.814516129
1,wd,70,70,2,4,5,7,132.1996818,140.625473,328.5124145,319.7181091,0.58824058,0.642404747,0.787950059,0.762725258,0.8,0.76,0.796,0.784
1,wd,80,70,3,3,5,7,196.3127327,179.0926361,328.5124145,319.7181091,0.873520376,0.818130293,0.787950059,0.762725258,0.792,0.808,0.796,0.784
1,wd,90,90,2,3,6,8,119.616168,124.3753052,301.9318647,297.3699493,0.532248513,0.568170792,0.724195556,0.709411087,0.744,0.768,0.78,0.792
1,wd,100,90,4,5,6,8,182.3156967,172.9946442,301.9318647,297.3699493,0.811238648,0.79027347,0.724195556,0.709411087,0.816,0.816,0.78,0.792
1,gd,0,0,0,0,0,0,62.5660713,53.7255249,62.5660713,53.7255249,0.315129651,0.234948605,0.1715066,0.134426735,0,0.008,0,0.008
1,gd,10,10,2,2,5,5,125.7963241,103.3601837,285.6446575,254.6147766,0.633604619,0.452007328,0.78301135,0.637072104,0.864,0.808,0.816,0.832
1,gd,20,10,3,3,5,5,159.8483334,151.2545929,285.6446575,254.6147766,0.805116072,0.661455716,0.78301135,0.637072104,0.768,0.856,0.816,0.832
1,gd,30,30,3,3,8,6,144.0998486,160.8888957,318.6937397,349.0449168,0.725794893,0.703587757,0.87360575,0.873345933,0.887096774,0.870967742,0.859437751,0.859437751
1,gd,40,30,5,3,8,6,174.5938911,188.1560211,318.6937397,349.0449168,0.879385758,0.82283039,0.87360575,0.873345933,0.832,0.848,0.859437751,0.859437751
1,gd,50,50,3,3,9,10,152.4170694,170.9947205,324.2772634,399.6639862,0.767686654,0.747781823,0.888911348,1,0.785714286,0.80952381,0.788844622,0.824701195
1,gd,60,50,6,7,9,10,171.860194,228.6692657,324.2772634,399.6639862,0.865616809,1,0.888911348,1,0.792,0.84,0.788844622,0.824701195
1,gd,70,70,4,3,12,7,171.9420214,170.1094818,364.8027039,366.9570007,0.866028953,0.743910561,1,0.918163791,0.774193548,0.822580645,0.787148594,0.81124498
1,gd,80,70,8,4,12,7,192.8606825,196.8475189,364.8027039,366.9570007,0.971391017,0.860839424,1,0.918163791,0.8,0.8,0.787148594,0.81124498
1,gd,90,90,3,4,10,12,143.1615453,165.8111115,341.7022762,371.0626373,0.721068894,0.725113237,0.936676929,0.928436512,0.776,0.808,0.796,0.808
1,gd,100,90,7,8,10,12,198.5407309,205.2515259,341.7022762,371.0626373,1,0.897591223,0.936676929,0.928436512,0.816,0.808,0.796,0.808
1,td,0,0,2,2,2,2,118.0502486,117.7593079,118.0502486,117.7593079,0.594059492,0.526321006,0.297807255,0.298403629,0.004,0.004,0.004,0.004
1,td,10,10,2,2,3,3,83.04920197,72.02337646,144.5905104,123.215271,0.41792514,0.3219059,0.364760798,0.312229111,0.580645161,0.483870968,0.542168675,0.497991968
1,td,20,10,1,1,3,3,61.5413084,51.19189453,144.5905104,123.215271,0.309691837,0.228800338,0.364760798,0.312229111,0.504,0.512,0.542168675,0.497991968
1,td,30,30,1,1,4,5,88.80122089,89.27526855,218.1053103,241.737381,0.446870793,0.399012613,0.550217763,0.612565691,0.872,0.848,0.816,0.832
1,td,40,30,3,4,4,5,129.3040894,152.4621124,218.1053103,241.737381,0.65069174,0.681423947,0.550217763,0.612565691,0.76,0.816,0.816,0.832
1,td,50,50,5,5,10,9,198.7178898,214.5173035,396.3981628,394.6309509,1,0.958777399,1,1,0.856,0.832,0.808,0.788
1,td,60,50,5,4,10,9,197.6802731,180.1136475,396.3981628,394.6309509,0.994778443,0.805011492,1,1,0.76,0.744,0.808,0.788
1,td,70,70,3,3,9,9,166.8997688,153.5228882,365.4225099,377.2633556,0.839882957,0.686165046,0.921857224,0.955990286,0.816,0.84,0.835341365,0.855421687
1,td,80,70,6,6,9,9,198.5227411,223.7404674,365.4225099,377.2633556,0.999017961,1,0.921857224,0.955990286,0.85483871,0.870967742,0.835341365,0.855421687
1,td,90,90,3,3,6,7,165.1370935,162.3165436,361.0194349,345.9889221,0.831012717,0.725467974,0.910749516,0.876740462,0.832,0.84,0.84063745,0.820717131
1,td,100,90,3,4,6,7,195.8823414,183.6723785,361.0194349,345.9889221,0.985730784,0.820917113,0.910749516,0.876740462,0.849206349,0.801587302,0.84063745,0.820717131
2,sd,0,0,0,0,0,0,49.64466095,36.32000732,49.64466095,36.32000732,1,0.280276722,0.583778066,0.165663402,0.003968254,0.011904762,0.003968254,0.011904762
2,sd,10,10,0,1,2,2,22.21248817,23.5118866,52.00650978,57.24191284,0.447429547,0.181438138,0.611551355,0.261092735,0.585365854,0.642276423,0.592741935,0.677419355
2,sd,20,10,2,1,2,2,29.79402161,33.73002625,52.00650978,57.24191284,0.600145535,0.260290179,0.611551355,0.261092735,0.6,0.712,0.592741935,0.677419355
2,sd,30,30,4,4,8,8,43.09444237,94.24171448,83.90246391,165.9896393,0.868057945,0.727250922,0.986620055,0.757114616,0.696,0.816,0.636,0.748
2,sd,40,30,4,4,8,8,40.80802155,71.7479248,83.90246391,165.9896393,0.822002221,0.553669304,0.986620055,0.757114616,0.576,0.68,0.636,0.748
2,sd,50,50,4,4,10,10,43.71547699,115.0286102,85.04029846,219.2397766,0.88056754,0.887660664,1,1,0.672,0.8,0.642570281,0.722891566
2,sd,60,50,6,6,10,10,41.32482147,104.2111664,85.04029846,219.2397766,0.832412201,0.804183872,1,1,0.612903226,0.64516129,0.642570281,0.722891566
2,sd,70,70,4,4,7,10,41.5144825,109.9040833,73.30379105,179.6957703,0.836232572,0.848115363,0.861988873,0.819631241,0.611111111,0.69047619,0.593625498,0.661354582
2,sd,80,70,3,6,7,10,31.78930855,69.79168701,73.30379105,179.6957703,0.640336905,0.538573274,0.861988873,0.819631241,0.576,0.632,0.593625498,0.661354582
2,sd,90,90,8,6,12,10,46.47040749,129.5862427,84.20067406,201.6839752,0.936060527,1,0.990126747,0.919924196,0.637096774,0.790322581,0.610441767,0.714859438
2,sd,100,90,4,4,12,10,37.73026657,72.09773254,84.20067406,201.6839752,0.760006531,0.556368724,0.990126747,0.919924196,0.584,0.64,0.610441767,0.714859438
